Horas,Temperatura,V_viento(km_h),Date
22,19,16,2022-11-17
23,18,13,2022-11-17
0,18,9,2022-11-18
1,17,7,2022-11-18
2,16,9,2022-11-18
3,16,12,2022-11-18
4,15,14,2022-11-18
5,14,15,2022-11-18
6,14,16,2022-11-18
7,14,16,2022-11-18
8,14,15,2022-11-18
9,14,12,2022-11-18
10,15,10,2022-11-18
11,15,10,2022-11-18
12,15,10,2022-11-18
13,15,10,2022-11-18
14,15,11,2022-11-18
15,14,13,2022-11-18
16,14,13,2022-11-18
17,14,12,2022-11-18
18,14,10,2022-11-18
19,13,8,2022-11-18
20,13,8,2022-11-18
21,13,7,2022-11-18
22,13,7,2022-11-18
23,12,7,2022-11-18
